,nrmse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/bnorm,config/dropout,config/dropout_prob,config/kernel_types,config/active_dim_multiplier,config/dim_max,config/output_dim,config/optimizer_lr,logdir
0,8.062,1708994229,,False,1,09deffa2,2024-02-26_17-37-09,21.09858512878418,21.09858512878418,16228,casper19,128.117.208.133,21.09858512878418,1,relu,True,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",2,256,24,0.001,09deffa2
1,6.598,1708994240,,False,1,6a25d9c7,2024-02-26_17-37-20,11.052915573120117,11.052915573120117,16228,casper19,128.117.208.133,11.052915573120117,1,tanh,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,64,60,0.001,6a25d9c7
2,21.746,1708994251,,False,1,39f28d05,2024-02-26_17-37-31,10.063136577606201,10.063136577606201,16228,casper19,128.117.208.133,10.063136577606201,1,relu,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,128,36,0.001,39f28d05
3,8.84,1708994260,,False,1,1236e41a,2024-02-26_17-37-40,9.706631422042847,9.706631422042847,16228,casper19,128.117.208.133,9.706631422042847,1,relu,True,False,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,64,60,0.01,1236e41a
4,8.472,1708994272,,False,1,844220aa,2024-02-26_17-37-52,11.064107656478882,11.064107656478882,16228,casper19,128.117.208.133,11.064107656478882,1,relu,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,48,0.01,844220aa
5,5.408,1708994283,,False,1,2833e5c2,2024-02-26_17-38-03,11.584529161453247,11.584529161453247,16228,casper19,128.117.208.133,11.584529161453247,1,sigmoid,True,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,128,48,0.01,2833e5c2
6,5.855,1708994297,,False,1,44c7dba8,2024-02-26_17-38-17,13.8987455368042,13.8987455368042,16228,casper19,128.117.208.133,13.8987455368042,1,sigmoid,False,False,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,48,0.001,44c7dba8
7,5.718,1708994308,,False,1,f7731674,2024-02-26_17-38-28,10.7104332447052,10.7104332447052,16228,casper19,128.117.208.133,10.7104332447052,1,sigmoid,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,128,36,0.01,f7731674
8,35.438,1708994356,,False,1,0436adbf,2024-02-26_17-39-16,19.186782836914062,19.186782836914062,17032,casper19,128.117.208.133,19.186782836914062,1,relu,True,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",2,64,60,0.001,0436adbf
9,9.83,1708994368,,False,1,b9e1c57d,2024-02-26_17-39-28,12.03807282447815,12.03807282447815,17032,casper19,128.117.208.133,12.03807282447815,1,relu,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,64,12,0.01,b9e1c57d
10,10.559,1708994380,,False,1,65a53528,2024-02-26_17-39-40,11.814278841018677,11.814278841018677,17032,casper19,128.117.208.133,11.814278841018677,1,relu,True,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,48,0.01,65a53528
11,10.077,1708994390,,False,1,8d0551e5,2024-02-26_17-39-50,10.451991558074951,10.451991558074951,17032,casper19,128.117.208.133,10.451991558074951,1,tanh,False,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,256,36,0.001,8d0551e5
12,5.301,1708994408,,False,1,38c85558,2024-02-26_17-40-08,17.559828758239746,17.559828758239746,17032,casper19,128.117.208.133,17.559828758239746,1,sigmoid,True,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,12,0.001,38c85558
13,8.386,1708994418,,False,1,b6a2925f,2024-02-26_17-40-18,10.438716650009155,10.438716650009155,17032,casper19,128.117.208.133,10.438716650009155,1,tanh,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,64,60,0.001,b6a2925f
14,4.85,1708994427,,False,1,7c6fe752,2024-02-26_17-40-27,8.51493525505066,8.51493525505066,17032,casper19,128.117.208.133,8.51493525505066,1,sigmoid,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,128,36,0.01,7c6fe752
15,5.337,1708994478,,False,1,7d77c9a1,2024-02-26_17-41-18,20.400273084640503,20.400273084640503,17864,casper19,128.117.208.133,20.400273084640503,1,sigmoid,True,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,256,24,0.01,7d77c9a1
16,8.765,1708994486,,False,1,1918ca84,2024-02-26_17-41-26,8.502620935440063,8.502620935440063,17864,casper19,128.117.208.133,8.502620935440063,1,relu,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,64,36,0.01,1918ca84
17,12.099,1708994494,,False,1,354ddd0c,2024-02-26_17-41-34,7.634706258773804,7.634706258773804,17864,casper19,128.117.208.133,7.634706258773804,1,relu,False,False,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",2,64,24,0.01,354ddd0c
18,5.033,1708994509,,False,1,760bd68c,2024-02-26_17-41-49,15.067869901657104,15.067869901657104,17864,casper19,128.117.208.133,15.067869901657104,1,sigmoid,True,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",2,256,60,0.001,760bd68c
19,9.067,1708994517,,False,1,9af8c43f,2024-02-26_17-41-57,7.911663770675659,7.911663770675659,17864,casper19,128.117.208.133,7.911663770675659,1,sigmoid,False,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,256,24,0.01,9af8c43f
20,4.965,1708994533,,False,1,1d7fe9fa,2024-02-26_17-42-13,15.75713062286377,15.75713062286377,17864,casper19,128.117.208.133,15.75713062286377,1,sigmoid,False,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,128,36,0.001,1d7fe9fa
21,5.465,1708994551,,False,1,7ce6e634,2024-02-26_17-42-31,17.504987716674805,17.504987716674805,17864,casper19,128.117.208.133,17.504987716674805,1,sigmoid,False,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,128,60,0.001,7ce6e634
22,5.11,1708994604,,False,1,0c1c5240,2024-02-26_17-43-24,23.90793800354004,23.90793800354004,18570,casper19,128.117.208.133,23.90793800354004,1,sigmoid,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,128,36,0.001,0c1c5240
23,4.455,1708994612,,False,1,770845b9,2024-02-26_17-43-32,8.270820617675781,8.270820617675781,18570,casper19,128.117.208.133,8.270820617675781,1,sigmoid,False,False,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,128,36,0.01,770845b9
24,5.895,1708994620,,False,1,125a0db7,2024-02-26_17-43-40,7.636866807937622,7.636866807937622,18570,casper19,128.117.208.133,7.636866807937622,1,sigmoid,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,128,36,0.01,125a0db7
