,nrmse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/bnorm,config/dropout,config/dropout_prob,config/kernel_types,config/active_dim_multiplier,config/dim_max,config/output_dim,config/optimizer_lr,logdir
0,9.067,1708995416,,False,1,ee57b736,2024-02-26_17-56-56,18.857269525527954,18.857269525527954,22738,casper19,128.117.208.133,18.857269525527954,1,sigmoid,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,256,60,0.01,ee57b736
1,13.061,1708995429,,False,1,9375815e,2024-02-26_17-57-09,12.463253021240234,12.463253021240234,22738,casper19,128.117.208.133,12.463253021240234,1,relu,True,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,512,60,0.01,9375815e
2,14.005,1708995439,,False,1,ff7143c1,2024-02-26_17-57-19,10.202727556228638,10.202727556228638,22738,casper19,128.117.208.133,10.202727556228638,1,relu,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,128,60,0.01,ff7143c1
3,20.648,1708995449,,False,1,4ea3225b,2024-02-26_17-57-29,9.75918960571289,9.75918960571289,22738,casper19,128.117.208.133,9.75918960571289,1,relu,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,512,60,0.001,4ea3225b
4,19.971,1708995465,,False,1,ca8a1d2c,2024-02-26_17-57-45,15.722127676010132,15.722127676010132,22738,casper19,128.117.208.133,15.722127676010132,1,relu,True,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,512,60,0.0001,ca8a1d2c
5,28.172,1708995481,,False,1,9f393bec,2024-02-26_17-58-01,16.32594323158264,16.32594323158264,22738,casper19,128.117.208.133,16.32594323158264,1,relu,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,256,48,0.0001,9f393bec
6,5.558,1708995493,,False,1,0df529fb,2024-02-26_17-58-13,11.789982557296753,11.789982557296753,22738,casper19,128.117.208.133,11.789982557296753,1,sigmoid,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,84,0.001,0df529fb
7,5.434,1708995538,,False,1,ffaaabd6,2024-02-26_17-58-58,17.25110960006714,17.25110960006714,23487,casper19,128.117.208.133,17.25110960006714,1,relu,True,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,128,60,0.01,ffaaabd6
8,5.111,1708995547,,False,1,9182df79,2024-02-26_17-59-07,8.769351720809937,8.769351720809937,23487,casper19,128.117.208.133,8.769351720809937,1,tanh,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,512,84,0.01,9182df79
9,9.068,1708995556,,False,1,55334169,2024-02-26_17-59-16,8.246586084365845,8.246586084365845,23487,casper19,128.117.208.133,8.246586084365845,1,sigmoid,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,512,72,0.01,55334169
10,6.306,1708995571,,False,1,4b65eecb,2024-02-26_17-59-31,15.538373708724976,15.538373708724976,23487,casper19,128.117.208.133,15.538373708724976,1,tanh,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,256,48,0.0001,4b65eecb
11,7.827,1708995581,,False,1,c6209c88,2024-02-26_17-59-41,8.982702255249023,8.982702255249023,23487,casper19,128.117.208.133,8.982702255249023,1,relu,True,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,128,84,0.01,c6209c88
12,6.749,1708995591,,False,1,3fe14e71,2024-02-26_17-59-51,10.465884923934937,10.465884923934937,23487,casper19,128.117.208.133,10.465884923934937,1,tanh,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,128,36,0.001,3fe14e71
13,12.656,1708995649,,False,1,f1ed40f2,2024-02-26_18-00-49,23.876171827316284,23.876171827316284,24231,casper19,128.117.208.133,23.876171827316284,1,relu,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,512,48,0.0001,f1ed40f2
14,25.081,1708995662,,False,1,4bc3df01,2024-02-26_18-01-02,13.723944425582886,13.723944425582886,24231,casper19,128.117.208.133,13.723944425582886,1,relu,False,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,512,72,0.0001,4bc3df01
15,6.614,1708995676,,False,1,bd4e430a,2024-02-26_18-01-16,14.027870893478394,14.027870893478394,24231,casper19,128.117.208.133,14.027870893478394,1,sigmoid,True,False,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,72,0.001,bd4e430a
16,6.498,1708995694,,False,1,445abe93,2024-02-26_18-01-34,17.925292253494263,17.925292253494263,24231,casper19,128.117.208.133,17.925292253494263,1,sigmoid,True,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,84,0.001,445abe93
17,15.526,1708995749,,False,1,512ebecd,2024-02-26_18-02-29,54.768765926361084,54.768765926361084,24231,casper19,128.117.208.133,54.768765926361084,1,sigmoid,False,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,128,84,0.0001,512ebecd
18,4.731,1708995804,,False,1,02c348d4,2024-02-26_18-03-24,54.44859051704407,54.44859051704407,24231,casper19,128.117.208.133,54.44859051704407,1,sigmoid,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,60,0.0001,02c348d4
19,7.581,1708995812,,False,1,7552c91f,2024-02-26_18-03-32,8.012019634246826,8.012019634246826,24231,casper19,128.117.208.133,8.012019634246826,1,relu,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,128,72,0.01,7552c91f
20,7.008,1708995864,,False,1,836850f9,2024-02-26_18-04-24,17.204301357269287,17.204301357269287,25048,casper19,128.117.208.133,17.204301357269287,1,tanh,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,512,84,0.0001,836850f9
21,4.853,1708995873,,False,1,1b77560a,2024-02-26_18-04-33,8.978338956832886,8.978338956832886,25048,casper19,128.117.208.133,8.978338956832886,1,tanh,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,36,0.0001,1b77560a
22,6.134,1708995881,,False,1,aa26aa30,2024-02-26_18-04-41,7.760021448135376,7.760021448135376,25048,casper19,128.117.208.133,7.760021448135376,1,tanh,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,84,0.01,aa26aa30
23,5.377,1708995890,,False,1,5ff7435f,2024-02-26_18-04-50,8.973297119140625,8.973297119140625,25048,casper19,128.117.208.133,8.973297119140625,1,tanh,False,False,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,36,0.0001,5ff7435f
24,7.422,1708995900,,False,1,530f07ad,2024-02-26_18-05-00,10.29802680015564,10.29802680015564,25048,casper19,128.117.208.133,10.29802680015564,1,tanh,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,36,0.0001,530f07ad
25,7.668,1708995944,,False,1,55561b57,2024-02-26_18-05-44,43.5458242893219,43.5458242893219,25048,casper19,128.117.208.133,43.5458242893219,1,sigmoid,False,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,36,0.0001,55561b57
26,5.752,1708996010,,False,1,8d9602c1,2024-02-26_18-06-50,36.5635039806366,36.5635039806366,25714,casper19,128.117.208.133,36.5635039806366,1,sigmoid,False,False,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,36,0.0001,8d9602c1
27,11.217,1708996021,,False,1,7ee20cc1,2024-02-26_18-07-01,10.862143278121948,10.862143278121948,25714,casper19,128.117.208.133,10.862143278121948,1,tanh,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,36,0.0001,7ee20cc1
28,4.819,1708996075,,False,1,fda691d0,2024-02-26_18-07-55,53.46910095214844,53.46910095214844,25714,casper19,128.117.208.133,53.46910095214844,1,sigmoid,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,60,0.0001,fda691d0
29,21.192,1708996094,,False,1,9a961078,2024-02-26_18-08-14,18.776463747024536,18.776463747024536,25714,casper19,128.117.208.133,18.776463747024536,1,tanh,False,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,36,0.0001,9a961078
30,5.035,1708996153,,False,1,ca32fe42,2024-02-26_18-09-13,59.27436351776123,59.27436351776123,25714,casper19,128.117.208.133,59.27436351776123,1,sigmoid,False,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",2,256,60,0.0001,ca32fe42
