,nrmse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/bnorm,config/dropout,config/dropout_prob,config/kernel_types,config/active_dim_multiplier,config/dim_max,config/output_dim,config/optimizer_lr,logdir
26,0.355,1708838679,,False,1,9f13b83b,2024-02-24_22-24-39,44.6038658618927,44.6038658618927,59609,casper19,128.117.208.133,44.6038658618927,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,36,0.001,9f13b83b
31,0.357,1708838864,,False,1,81284b11,2024-02-24_22-27-44,11.249745845794678,11.249745845794678,59609,casper19,128.117.208.133,11.249745845794678,1,tanh,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,60,0.001,81284b11
25,0.382,1708838635,,False,1,9ff1db8e,2024-02-24_22-23-55,46.67987537384033,46.67987537384033,59609,casper19,128.117.208.133,46.67987537384033,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,60,0.001,9ff1db8e
22,0.391,1708838499,,False,1,e62b571a,2024-02-24_22-21-39,40.91234827041626,40.91234827041626,59609,casper19,128.117.208.133,40.91234827041626,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,60,0.001,e62b571a
20,0.395,1708838447,,False,1,04b5a3b5,2024-02-24_22-20-47,41.302692890167236,41.302692890167236,59609,casper19,128.117.208.133,41.302692890167236,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,36,0.001,04b5a3b5
40,0.415,1708839122,,False,1,a97a45b5,2024-02-24_22-32-02,36.97556471824646,36.97556471824646,59609,casper19,128.117.208.133,36.97556471824646,1,tanh,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,64,36,0.001,a97a45b5
38,0.42,1708839072,,False,1,a281195c,2024-02-24_22-31-12,10.960130453109741,10.960130453109741,59609,casper19,128.117.208.133,10.960130453109741,1,tanh,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,60,0.001,a281195c
30,0.451,1708838853,,False,1,83ae8f10,2024-02-24_22-27-33,46.05345439910889,46.05345439910889,59609,casper19,128.117.208.133,46.05345439910889,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,36,0.001,83ae8f10
19,0.451,1708838405,,False,1,ce8b4a0c,2024-02-24_22-20-05,37.702507734298706,37.702507734298706,59609,casper19,128.117.208.133,37.702507734298706,1,sigmoid,False,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,128,60,0.001,ce8b4a0c
21,0.504,1708838458,,False,1,5297448e,2024-02-24_22-20-58,10.88193154335022,10.88193154335022,59609,casper19,128.117.208.133,10.88193154335022,1,sigmoid,False,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,128,36,0.01,5297448e
46,0.53,1708839279,,False,1,44625496,2024-02-24_22-34-39,41.34089803695679,41.34089803695679,59609,casper19,128.117.208.133,41.34089803695679,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,64,60,0.001,44625496
45,0.555,1708839238,,False,1,6c7b3a2f,2024-02-24_22-33-58,15.450615882873535,15.450615882873535,59609,casper19,128.117.208.133,15.450615882873535,1,tanh,True,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,36,0.01,6c7b3a2f
44,0.565,1708839222,,False,1,d9cdceeb,2024-02-24_22-33-42,36.93555784225464,36.93555784225464,59609,casper19,128.117.208.133,36.93555784225464,1,relu,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,48,0.001,d9cdceeb
4,0.592,1708837960,,False,1,7ed1a6de,2024-02-24_22-12-40,12.544629096984863,12.544629096984863,59609,casper19,128.117.208.133,12.544629096984863,1,sigmoid,False,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,128,36,0.01,7ed1a6de
13,0.604,1708838210,,False,1,de41c177,2024-02-24_22-16-50,40.587878942489624,40.587878942489624,59609,casper19,128.117.208.133,40.587878942489624,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,24,0.001,de41c177
23,0.634,1708838546,,False,1,7fe26650,2024-02-24_22-22-26,46.96279716491699,46.96279716491699,59609,casper19,128.117.208.133,46.96279716491699,1,sigmoid,True,True,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",2,256,36,0.001,7fe26650
29,0.659,1708838807,,False,1,3f8817b4,2024-02-24_22-26-47,45.751237869262695,45.751237869262695,59609,casper19,128.117.208.133,45.751237869262695,1,sigmoid,True,False,0.5,"('Matern12', 'Matern12', 'Matern12', 'Matern12')",1,256,36,0.001,3f8817b4
