,nrmse,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/bnorm,config/dropout,config/dropout_prob,config/kernel_types,config/active_dim_multiplier,config/dim_max,config/output_dim,config/optimizer_lr,logdir
0,25.626,1708936026,,False,1,202cee6b,2024-02-26_01-27-06,18.400970697402954,18.400970697402954,8149,casper18,128.117.208.132,18.400970697402954,1,tanh,True,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,128,24,0.01,202cee6b
1,37.118,1708936049,,False,1,0e8929cd,2024-02-26_01-27-29,22.84449791908264,22.84449791908264,8149,casper18,128.117.208.132,22.84449791908264,1,relu,True,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,60,0.001,0e8929cd
2,34.201,1708936062,,False,1,5a9ac5c7,2024-02-26_01-27-42,13.648652791976929,13.648652791976929,8149,casper18,128.117.208.132,13.648652791976929,1,relu,True,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,36,0.01,5a9ac5c7
3,33.035,1708936085,,False,1,6b809bab,2024-02-26_01-28-05,22.19074583053589,22.19074583053589,8149,casper18,128.117.208.132,22.19074583053589,1,relu,True,True,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,64,12,0.001,6b809bab
4,26.917,1708936102,,False,1,acc69204,2024-02-26_01-28-22,16.609546422958374,16.609546422958374,8149,casper18,128.117.208.132,16.609546422958374,1,sigmoid,True,False,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",2,256,24,0.001,acc69204
5,25.497,1708936123,,False,1,b0f03d15,2024-02-26_01-28-43,21.3027663230896,21.3027663230896,8149,casper18,128.117.208.132,21.3027663230896,1,tanh,True,False,0.5,"('Matern52', 'Matern52', 'Matern52', 'Matern52')",1,256,36,0.001,b0f03d15
6,26.811,1708936141,,False,1,5e9ec88b,2024-02-26_01-29-01,17.438647985458374,17.438647985458374,8149,casper18,128.117.208.132,17.438647985458374,1,tanh,False,False,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,64,24,0.001,5e9ec88b
7,24.824,1708936191,,False,1,9ec89d4f,2024-02-26_01-29-51,21.473525762557983,21.473525762557983,8967,casper18,128.117.208.132,21.473525762557983,1,sigmoid,True,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,256,12,0.01,9ec89d4f
8,30.082,1708936212,,False,1,f82285c0,2024-02-26_01-30-12,20.708673238754272,20.708673238754272,8967,casper18,128.117.208.132,20.708673238754272,1,sigmoid,True,True,0.5,"('Matern32', 'Matern32', 'Matern32', 'Matern32')",1,128,12,0.001,f82285c0
9,41.172,1708936227,,False,1,1a61fccb,2024-02-26_01-30-27,15.006837368011475,15.006837368011475,8967,casper18,128.117.208.132,15.006837368011475,1,relu,True,True,0.5,"('SquaredExponential', 'SquaredExponential', 'SquaredExponential', 'SquaredExponential')",1,256,48,0.01,1a61fccb
